name,status,count,candidates
刘备,single,1,standard:liubei
关羽,single,1,standard:guanyu
张飞,single,1,standard:zhangfei
诸葛亮,multiple,2,diy:ns_zhugeliang;standard:zhugeliang
赵云,single,1,standard:zhaoyun
马超,single,1,standard:machao
黄月英,single,1,standard:huangyueying
孙权,single,1,standard:sunquan
甘宁,single,1,standard:ganning
吕蒙,multiple,2,diy:ns_lvmeng;standard:lvmeng
黄盖,single,1,standard:huanggai
周瑜,single,1,standard:zhouyu
大乔,single,1,standard:daqiao
陆逊,single,1,standard:luxun
曹操,multiple,2,diy:ns_caocao;standard:caocao
司马懿,single,1,standard:simayi
夏侯惇,single,1,standard:xiahoudun
张辽,single,1,standard:zhangliao
许褚,single,1,standard:xuzhu
郭嘉,single,1,standard:guojia
甄姬,missing,0,
华佗,single,1,standard:huatuo
吕布,multiple,2,collab:ol_jsrg_lvbu;standard:lvbu
貂蝉,single,1,standard:diaochan
孙尚香,single,1,standard:sunshangxiang
黄忠,single,1,shenhua:re_huangzhong
魏延,single,1,shenhua:re_weiyan
夏侯渊,single,1,shenhua:re_xiahouyuan
曹仁,single,1,shenhua:old_caoren
小乔,single,1,shenhua:xiaoqiao
周泰,single,1,shenhua:old_zhoutai
张角,single,1,shenhua:sp_zhangjiao
于吉,multiple,3,diy:ns_yuji;diy:ns_yujisp;shenhua:re_yuji
典韦,single,1,shenhua:dianwei
荀彧,single,1,shenhua:xunyu
庞统,single,1,shenhua:pangtong
卧龙诸葛,missing,0,
太史慈,single,1,shenhua:taishici
庞德,single,1,shenhua:re_pangde
颜良文丑,single,1,shenhua:yanwen
袁绍,single,1,shenhua:re_yuanshao
徐晃,single,1,shenhua:re_xuhuang
曹丕,single,1,shenhua:caopi
孙坚,multiple,2,diy:ns_sunjian;shenhua:sunjian
董卓,single,1,shenhua:dongzhuo
祝融,single,1,shenhua:zhurong
孟获,single,1,shenhua:menghuo
贾诩,single,1,shenhua:jiaxu
鲁肃,single,1,shenhua:re_lusu
张郃,single,1,shenhua:zhanghe
邓艾,single,1,shenhua:dengai
姜维,single,1,shenhua:jiangwei
刘禅,single,1,shenhua:liushan
孙策,single,1,shenhua:sunce
张昭张纮,single,1,shenhua:zhangzhang
左慈,multiple,2,diy:ns_zuoci;shenhua:zuoci
蔡文姬,missing,0,
孙茹,single,1,huicui:dc_sunru
凌操,missing,0,
伏完,single,1,sp:fuwan
刘协,single,1,sp:liuxie
灵雎,single,1,sp:lingju
界·袁术,missing,0,
SP公孙瓒,single,1,offline:sp_gongsunzan
SP孙尚香,single,1,sp:sp_sunshangxiang
杨修,single,1,sp:yangxiu
SP庞德,single,1,sp:sp_pangde
SP关羽,single,1,sp:jsp_guanyu
SP马超,single,1,sp:sp_machao
SP赵云,single,1,sp:sp_zhaoyun
SP貂蝉,single,1,sp:sp_diaochan
SP贾诩,single,1,sp:sp_jiaxu
SP曹仁,single,1,sp:sp_caoren
SP蔡文姬,missing,0,
陈琳,single,1,sp:chenlin
曹洪,single,1,sp:caohong
关银屏,single,1,sp:guanyinping
夏侯霸,single,1,sp:xiahouba
大乔小乔,single,1,sp:daxiaoqiao
诸葛恪,single,1,sp:zhugeke
张宝,multiple,2,diy:ns_zhangbao;sp:zhangbao
乐进,single,1,sp:yuejin
曹昂,single,1,sp:caoang
诸葛瑾,single,1,sp:zhugejin
张星彩,single,1,sp:zhangxingcai
祖茂,single,1,sp:zumao
丁奉,single,1,sp:dingfeng
潘凤,single,1,huicui:re_panfeng
马良,single,1,sp:maliang
诸葛诞,single,1,sp:zhugedan
程昱,single,1,sp:chengyu
何太后,single,1,sp:hetaihou
留赞,single,1,xianding:re_liuzan
李丰,single,1,huicui:dc_lifeng
朱灵,single,1,sp2:dc_zhuling
